        A       C       D       E       F       G       H       I       K       L       M       N       X
A   7.704   4.643  -2.555   0.241  -2.943  -4.918  -4.968  -6.187  -3.682  -5.694  -7.115  -5.917   0.0
C   4.643   8.626   0.341  -2.351  -3.455  -1.494  -0.808  -0.824  -4.421  -2.471  -3.302  -6.499   0.0
D  -2.555   0.341   5.576    1.39  -1.872   0.218  -0.419  -1.055  -5.385  -2.786  -3.644  -6.459   0.0
E   0.241  -2.351    1.39   5.268   0.167  -3.385  -4.469  -6.302  -3.588  -5.272  -6.432   -4.14   0.0
F  -2.943  -3.455  -1.872   0.167   4.284   0.589  -3.708   -5.23  -2.105  -3.904  -4.155  -3.211   0.0
G  -4.918  -1.494   0.218  -3.385   0.589   4.741   0.163  -1.044  -4.576  -1.751  -2.064  -5.188   0.0
H  -4.968  -0.808  -0.419  -4.469  -3.708   0.163   4.685   1.357    -4.6  -0.496    -0.4  -4.876   0.0
I  -6.187  -0.824  -1.055  -6.302   -5.23  -1.044   1.357   5.138  -4.591   0.152  -0.615   -5.82   0.0
K  -3.682  -4.421  -5.385  -3.588  -2.105  -4.576    -4.6  -4.591   3.798   0.247  -3.225  -0.623   0.0
L  -5.694  -2.471  -2.786  -5.272  -3.904  -1.751  -0.496   0.152   0.247   4.483   0.049  -3.018   0.0
M  -7.115  -3.302  -3.644  -6.432  -4.155  -2.064    -0.4  -0.615  -3.225   0.049   6.399   2.481   0.0
N  -5.917  -6.499  -6.459   -4.14  -3.211  -5.188  -4.876   -5.82  -0.623  -3.018   2.481   5.775   0.0
X   0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
