# 3Di bit/2
# Background (precomputed optional): 0.03850 0.06447 0.03121 0.05041 0.04673 0.20130 0.04610 0.02807 0.09808 0.03124 0.06025 0.08693 0.09513 0.04510 0.02830 0.04461 0.00357
# Lambda     (precomputed optional): 0.34657
    A   C   D   E   F   G   H   I   K   L   M   N   P   Q   R   S   X
A   7   2  -6  -4  -5  -2  -8  -4  -8  -5   0  -8  -8   4  -1  -6  -3
C   2   5   2  -3  -2   0  -4  -4  -6  -7   1  -5  -5  -2   2  -3  -1
D  -6   2   9  -4  -4  -5  -2  -7  -8  -9  -4 -13 -12  -9   0 -10  -4
E  -4  -3  -4   6   2  -1  -1   3   0  -1  -4  -4  -5  -6  -2  -7   1
F  -5  -2  -4   2   5   0   1  -1   1  -5  -3  -1  -3  -8  -1  -4   0
G  -2   0  -5  -1   0   3  -3  -2  -3  -5  -2  -2  -2  -5   1  -4   1
H  -8  -4  -2  -1   1  -3   8  -4  -6  -8  -8 -10 -11 -12  -4 -11  -2
I  -4  -4  -7   3  -1  -2  -4   8  -5   5  -7  -9 -10  -5  -5 -11  -1
K  -8  -6  -8   0   1  -3  -6  -5   5  -9  -3   0   0 -12  -3  -4  -3
L  -5  -7  -9  -1  -5  -5  -8   5  -9   9 -10 -15 -14  -6  -7 -15   0
M   0   1  -4  -4  -3  -2  -8  -7  -3 -10   5   0   0  -5   0   3  -2
N  -8  -5 -13  -4  -1  -2 -10  -9   0 -15   0   4   3 -15  -3   0  -2
P  -8  -5 -12  -5  -3  -2 -11 -10   0 -14   0   3   4 -13  -1   0  -1
Q   4  -2  -9  -6  -8  -5 -12  -5 -12  -6  -5 -15 -13   8  -5 -12  -6
R  -1   2   0  -2  -1   1  -4  -5  -3  -7   0  -3  -1  -5   6  -3   0
S  -6  -3 -10  -7  -4  -4 -11 -11  -4 -15   3   0   0 -12  -3   7  -4
X  -3  -1  -4   1   0   1  -2  -1  -3   0  -2  -2  -1  -6   0  -4  12
