    A   B   C   D   E   F   G   H   I   J   K   L   M   N   O   P   Q   R   S   T   X
A  14   5 -19 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50   0
B   5  11   2 -11 -15 -18 -23 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50   0
C -19   2   9   2  -7 -13 -16 -23 -50 -24 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50   0
D -50 -11   2   7   2  -6 -10 -14 -18 -22 -27 -50 -50 -50 -50 -50 -50 -50 -50 -50   0
E -50 -15  -7   2   7   2  -5  -9 -12 -17 -22 -50 -50 -50 -50 -50 -50 -50 -50 -50   0
F -50 -18 -13  -6   2   7   2  -4  -9 -14 -19 -50 -50 -50 -50 -50 -50 -50 -50 -50   0
G -50 -23 -16 -10  -5   2   8   4  -3  -7 -13 -50 -50 -50 -50 -50 -50 -50 -50 -50   0
H -50 -50 -23 -14  -9  -4   4   9   1  -3 -10 -50 -50 -50 -50 -50 -50 -50 -50 -50   0
I -50 -50 -50 -18 -12  -9  -3   1  11   2  -6 -50 -50 -50 -50 -50 -50 -50 -50 -50   0
J -50 -50 -24 -22 -17 -14  -7  -3   2  10  -5 -50 -50 -50 -50 -50 -50 -50 -50 -50   0
K -50 -50 -50 -27 -22 -19 -13 -10  -6  -5   6 -50 -50 -50 -50 -50 -50 -50 -50 -50   0
L -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50   8  -4  -8 -13 -18 -26 -50 -50 -50   0
M -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50  -4   9   0  -6 -12 -16 -22 -50 -50   0
N -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50  -8   0   9   3  -5 -12 -17 -23 -50   0
O -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -13  -6   3   7   1  -8 -12 -19 -50   0
P -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -18 -12  -5   1   6   1  -6 -15 -50   0
Q -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -26 -16 -12  -8   1   6   2 -10 -50   0
R -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -22 -17 -12  -6   2   8   2 -50   0
S -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -23 -19 -15 -10   2  10   4   0
T -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50   4  12   0
X   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
